"","region","supplysector","subsector0","subsector","year","lifetime","steepness","half.life","stub.technology"
"171","AL","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (cooling pond)"
"172","AL","intermediate generation","coal","coal_int_conv pul 1981-1985",2015,50,0.3,44,"coal (conv pul) (dry cooling)"
"173","AL","base load generation","coal","coal_base_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (once through)"
"174","AL","base load generation","coal","coal_base_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (recirculating)"
"175","AL","base load generation","coal","coal_base_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (cooling pond)"
"176","AL","base load generation","coal","coal_base_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (dry cooling)"
"177","AL","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (once through)"
"178","AL","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (recirculating)"
"179","AL","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (cooling pond)"
"180","AL","intermediate generation","coal","coal_int_conv pul 1986-1990",2015,54,0.3,47,"coal (conv pul) (dry cooling)"
"181","AL","base load generation","coal","coal_base_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (once through)"
"182","AL","base load generation","coal","coal_base_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (recirculating)"
"183","AL","base load generation","coal","coal_base_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (cooling pond)"
"184","AL","base load generation","coal","coal_base_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (dry cooling)"
"185","AL","intermediate generation","coal","coal_int_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (once through)"
"186","AL","intermediate generation","coal","coal_int_conv pul 1991-1995",2015,56,0.3,49,"coal (conv pul) (recirculating)"
