"","sector.name","subsector.name0","subsector.name","year","lifetime","technology"
"228","base load generation","coal","coal_base_IGCC_CCS",2035,60,"coal (IGCC CCS) (once through)"
"229","base load generation","coal","coal_base_IGCC_CCS",2035,60,"coal (IGCC CCS) (seawater)"
"230","base load generation","coal","coal_base_IGCC_CCS",2035,60,"coal (IGCC CCS) (recirculating)"
"231","base load generation","coal","coal_base_IGCC_CCS",2035,60,"coal (IGCC CCS) (dry cooling)"
"232","base load generation","gas","gas_base_CC",2035,45,"gas (CC) (once through)"
"233","base load generation","gas","gas_base_CC",2035,45,"gas (CC) (seawater)"
"234","base load generation","gas","gas_base_CC",2035,45,"gas (CC) (recirculating)"
"235","base load generation","gas","gas_base_CC",2035,45,"gas (CC) (cooling pond)"
"236","base load generation","gas","gas_base_CC",2035,45,"gas (CC) (dry cooling)"
"237","base load generation","gas","gas_base_CC_CCS",2035,45,"gas (CC CCS) (once through)"
"238","base load generation","gas","gas_base_CC_CCS",2035,45,"gas (CC CCS) (seawater)"
"239","base load generation","gas","gas_base_CC_CCS",2035,45,"gas (CC CCS) (recirculating)"
"240","base load generation","gas","gas_base_CC_CCS",2035,45,"gas (CC CCS) (dry cooling)"
"241","base load generation","geothermal","geo_base",2035,30,"geothermal (recirculating)"
"242","base load generation","geothermal","geo_base",2035,30,"geothermal (dry_hybrid)"
"243","base load generation","nuclear","nuc_base_Gen III",2035,60,"Gen_III (once through)"
"244","base load generation","nuclear","nuc_base_Gen III",2035,60,"Gen_III (seawater)"
"245","base load generation","nuclear","nuc_base_Gen III",2035,60,"Gen_III (recirculating)"
"246","base load generation","nuclear","nuc_base_Gen III",2035,60,"Gen_III (cooling pond)"
"247","base load generation","refined liquids","refined liquids_base_steam/CT",2035,45,"refined liquids (steam/CT) (once through)"
"248","base load generation","refined liquids","refined liquids_base_steam/CT",2035,45,"refined liquids (steam/CT) (seawater)"
"249","base load generation","refined liquids","refined liquids_base_steam/CT",2035,45,"refined liquids (steam/CT) (recirculating)"
"250","base load generation","refined liquids","refined liquids_base_steam/CT",2035,45,"refined liquids (steam/CT) (cooling pond)"
"251","base load generation","refined liquids","refined liquids_base_steam/CT",2035,45,"refined liquids (steam/CT) (dry cooling)"
"252","base load generation","refined liquids","refined liquids_base_CC",2035,45,"refined liquids (CC) (once through)"
"253","base load generation","refined liquids","refined liquids_base_CC",2035,45,"refined liquids (CC) (seawater)"
"254","base load generation","refined liquids","refined liquids_base_CC",2035,45,"refined liquids (CC) (recirculating)"
"255","base load generation","refined liquids","refined liquids_base_CC",2035,45,"refined liquids (CC) (dry cooling)"
"256","base load generation","refined liquids","refined liquids_base_CC_CCS",2035,45,"refined liquids (CC CCS) (once through)"
"257","base load generation","refined liquids","refined liquids_base_CC_CCS",2035,45,"refined liquids (CC CCS) (seawater)"
"258","base load generation","refined liquids","refined liquids_base_CC_CCS",2035,45,"refined liquids (CC CCS) (recirculating)"
"259","base load generation","refined liquids","refined liquids_base_CC_CCS",2035,45,"refined liquids (CC CCS) (dry cooling)"
"260","base load generation","solar","PV_base_storage",2035,30,"PV_base_storage"
"261","base load generation","solar","CSP_base_storage",2035,30,"CSP_base_storage"
"262","base load generation","wind","wind_base_storage",2035,30,"wind_base_storage"
"263","base load generation","biomass","biomass_base_conv",2040,60,"biomass (conv) (once through)"
"264","base load generation","biomass","biomass_base_conv",2040,60,"biomass (conv) (seawater)"
"265","base load generation","biomass","biomass_base_conv",2040,60,"biomass (conv) (recirculating)"
"266","base load generation","biomass","biomass_base_conv",2040,60,"biomass (conv) (cooling pond)"
"267","base load generation","biomass","biomass_base_conv",2040,60,"biomass (conv) (dry cooling)"
"268","base load generation","biomass","biomass_base_conv_CCS",2040,60,"biomass (conv CCS) (once through)"
"269","base load generation","biomass","biomass_base_conv_CCS",2040,60,"biomass (conv CCS) (seawater)"
"270","base load generation","biomass","biomass_base_conv_CCS",2040,60,"biomass (conv CCS) (recirculating)"
"271","base load generation","biomass","biomass_base_conv_CCS",2040,60,"biomass (conv CCS) (dry cooling)"
"272","base load generation","biomass","biomass_base_IGCC",2040,60,"biomass (IGCC) (once through)"
"273","base load generation","biomass","biomass_base_IGCC",2040,60,"biomass (IGCC) (seawater)"
"274","base load generation","biomass","biomass_base_IGCC",2040,60,"biomass (IGCC) (recirculating)"
