"","supplysector","subsector.name0","subsector.name","year","lifetime","steepness","half.life","technology"
"91","subpeak generation","coal","coal_subpeak_conv pul",2015,60,0.1,30,"coal (conv pul) (dry cooling)"
"92","subpeak generation","gas","gas_subpeak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (once through)"
"93","subpeak generation","gas","gas_subpeak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (seawater)"
"94","subpeak generation","gas","gas_subpeak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (recirculating)"
"95","subpeak generation","gas","gas_subpeak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (cooling pond)"
"96","subpeak generation","gas","gas_subpeak_steam/CT",2015,45,0.1,22.5,"gas (steam/CT) (dry cooling)"
"97","subpeak generation","gas","gas_subpeak_CC",2015,45,0.1,22.5,"gas (CC) (once through)"
"98","subpeak generation","gas","gas_subpeak_CC",2015,45,0.1,22.5,"gas (CC) (seawater)"
"99","subpeak generation","gas","gas_subpeak_CC",2015,45,0.1,22.5,"gas (CC) (recirculating)"
"100","subpeak generation","gas","gas_subpeak_CC",2015,45,0.1,22.5,"gas (CC) (cooling pond)"
"101","subpeak generation","gas","gas_subpeak_CC",2015,45,0.1,22.5,"gas (CC) (dry cooling)"
"102","subpeak generation","refined liquids","refined liquids_subpeak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (once through)"
"103","subpeak generation","refined liquids","refined liquids_subpeak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (seawater)"
"104","subpeak generation","refined liquids","refined liquids_subpeak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (recirculating)"
"105","subpeak generation","refined liquids","refined liquids_subpeak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (cooling pond)"
"106","subpeak generation","refined liquids","refined liquids_subpeak_steam/CT",2015,45,0.1,22.5,"refined liquids (steam/CT) (dry cooling)"
