"","sector.name","subsector.name0","subsector.name","year","capacity.factor","technology"
"178","base load generation","coal","coal_base_IGCC_CCS",1990,0.8,"coal (IGCC CCS) (dry cooling)"
"179","base load generation","gas","gas_base_CC",1990,0.85,"gas (CC) (once through)"
"180","base load generation","gas","gas_base_CC",1990,0.85,"gas (CC) (seawater)"
"181","base load generation","gas","gas_base_CC",1990,0.85,"gas (CC) (recirculating)"
"182","base load generation","gas","gas_base_CC",1990,0.85,"gas (CC) (cooling pond)"
"183","base load generation","gas","gas_base_CC",1990,0.85,"gas (CC) (dry cooling)"
"184","base load generation","gas","gas_base_CC_CCS",1990,0.8,"gas (CC CCS) (once through)"
"185","base load generation","gas","gas_base_CC_CCS",1990,0.8,"gas (CC CCS) (seawater)"
"186","base load generation","gas","gas_base_CC_CCS",1990,0.8,"gas (CC CCS) (recirculating)"
"187","base load generation","gas","gas_base_CC_CCS",1990,0.8,"gas (CC CCS) (dry cooling)"
"188","base load generation","geothermal","geo_base",1990,0.9,"geothermal (recirculating)"
"189","base load generation","geothermal","geo_base",1990,0.9,"geothermal (dry_hybrid)"
"190","base load generation","nuclear","nuc_base_Gen II",1990,0.9,"Gen_II_LWR (once through)"
"191","base load generation","nuclear","nuc_base_Gen II",1990,0.9,"Gen_II_LWR (seawater)"
"192","base load generation","nuclear","nuc_base_Gen II",1990,0.9,"Gen_II_LWR (recirculating)"
"193","base load generation","nuclear","nuc_base_Gen II",1990,0.9,"Gen_II_LWR (cooling pond)"
"194","base load generation","nuclear","nuc_base_Gen III",1990,0.9,"Gen_III (once through)"
"195","base load generation","nuclear","nuc_base_Gen III",1990,0.9,"Gen_III (seawater)"
"196","base load generation","nuclear","nuc_base_Gen III",1990,0.9,"Gen_III (recirculating)"
"197","base load generation","nuclear","nuc_base_Gen III",1990,0.9,"Gen_III (cooling pond)"
"198","base load generation","refined liquids","refined liquids_base_steam/CT",1990,0.8,"refined liquids (steam/CT) (once through)"
"199","base load generation","refined liquids","refined liquids_base_steam/CT",1990,0.8,"refined liquids (steam/CT) (seawater)"
"200","base load generation","refined liquids","refined liquids_base_steam/CT",1990,0.8,"refined liquids (steam/CT) (recirculating)"
"201","base load generation","refined liquids","refined liquids_base_steam/CT",1990,0.8,"refined liquids (steam/CT) (cooling pond)"
"202","base load generation","refined liquids","refined liquids_base_steam/CT",1990,0.8,"refined liquids (steam/CT) (dry cooling)"
"203","base load generation","refined liquids","refined liquids_base_CC",1990,0.85,"refined liquids (CC) (once through)"
"204","base load generation","refined liquids","refined liquids_base_CC",1990,0.85,"refined liquids (CC) (seawater)"
"205","base load generation","refined liquids","refined liquids_base_CC",1990,0.85,"refined liquids (CC) (recirculating)"
"206","base load generation","refined liquids","refined liquids_base_CC",1990,0.85,"refined liquids (CC) (dry cooling)"
"207","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,0.8,"refined liquids (CC CCS) (once through)"
"208","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,0.8,"refined liquids (CC CCS) (seawater)"
"209","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,0.8,"refined liquids (CC CCS) (recirculating)"
"210","base load generation","refined liquids","refined liquids_base_CC_CCS",1990,0.8,"refined liquids (CC CCS) (dry cooling)"
"211","base load generation","solar","PV_base_storage",1990,0.2,"PV_base_storage"
"212","base load generation","solar","CSP_base_storage",1990,0.5,"CSP_base_storage"
"213","base load generation","wind","wind_base_storage",1990,0.37,"wind_base_storage"
"214","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85,"coal (conv pul) (once through)"
"215","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85,"coal (conv pul) (seawater)"
"216","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85,"coal (conv pul) (recirculating)"
"217","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85,"coal (conv pul) (cooling pond)"
"218","base load generation","coal","coal_base_conv pul 1951-1955",1990,0.85,"coal (conv pul) (dry cooling)"
"219","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85,"coal (conv pul) (once through)"
"220","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85,"coal (conv pul) (seawater)"
"221","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85,"coal (conv pul) (recirculating)"
"222","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85,"coal (conv pul) (cooling pond)"
"223","base load generation","coal","coal_base_conv pul 1956-1960",1990,0.85,"coal (conv pul) (dry cooling)"
"224","base load generation","coal","coal_base_conv pul 1961-1965",1990,0.85,"coal (conv pul) (once through)"
