"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"51","elect_td_bld","rooftop_pv","rooftop_pv",2025,"OM-fixed",4.62,"rooftop_pv"
"52","elect_td_bld","rooftop_pv","rooftop_pv",2030,"OM-fixed",4.02,"rooftop_pv"
"53","elect_td_bld","rooftop_pv","rooftop_pv",2035,"OM-fixed",3.64,"rooftop_pv"
"54","elect_td_bld","rooftop_pv","rooftop_pv",2040,"OM-fixed",3.4,"rooftop_pv"
"55","elect_td_bld","rooftop_pv","rooftop_pv",2045,"OM-fixed",3.25,"rooftop_pv"
"56","elect_td_bld","rooftop_pv","rooftop_pv",2050,"OM-fixed",3.16,"rooftop_pv"
"57","elect_td_bld","rooftop_pv","rooftop_pv",2055,"OM-fixed",3.1,"rooftop_pv"
"58","elect_td_bld","rooftop_pv","rooftop_pv",2060,"OM-fixed",3.07,"rooftop_pv"
"59","elect_td_bld","rooftop_pv","rooftop_pv",2065,"OM-fixed",3.04,"rooftop_pv"
"60","elect_td_bld","rooftop_pv","rooftop_pv",2070,"OM-fixed",3.03,"rooftop_pv"
"61","elect_td_bld","rooftop_pv","rooftop_pv",2075,"OM-fixed",3.02,"rooftop_pv"
"62","elect_td_bld","rooftop_pv","rooftop_pv",2080,"OM-fixed",3.02,"rooftop_pv"
"63","elect_td_bld","rooftop_pv","rooftop_pv",2085,"OM-fixed",3.01,"rooftop_pv"
"64","elect_td_bld","rooftop_pv","rooftop_pv",2090,"OM-fixed",3.01,"rooftop_pv"
"65","elect_td_bld","rooftop_pv","rooftop_pv",2095,"OM-fixed",3.01,"rooftop_pv"
"66","elect_td_bld","rooftop_pv","rooftop_pv",2100,"OM-fixed",3.01,"rooftop_pv"
"67","intermediate generation","solar","CSP_int",1975,"OM-fixed",15.92,"CSP_int (dry_hybrid)"
"68","intermediate generation","solar","CSP_int",1990,"OM-fixed",15.92,"CSP_int (dry_hybrid)"
"69","intermediate generation","solar","CSP_int",2005,"OM-fixed",15.92,"CSP_int (dry_hybrid)"
"70","intermediate generation","solar","CSP_int",2010,"OM-fixed",15.92,"CSP_int (dry_hybrid)"
"71","intermediate generation","solar","CSP_int",2015,"OM-fixed",15.92,"CSP_int (dry_hybrid)"
"72","intermediate generation","solar","CSP_int",2020,"OM-fixed",13.22,"CSP_int (dry_hybrid)"
"73","intermediate generation","solar","CSP_int",2025,"OM-fixed",12.21,"CSP_int (dry_hybrid)"
"74","intermediate generation","solar","CSP_int",2030,"OM-fixed",11.84,"CSP_int (dry_hybrid)"
"75","intermediate generation","solar","CSP_int",2035,"OM-fixed",11.7,"CSP_int (dry_hybrid)"
"76","intermediate generation","solar","CSP_int",2040,"OM-fixed",11.65,"CSP_int (dry_hybrid)"
"77","intermediate generation","solar","CSP_int",2045,"OM-fixed",11.63,"CSP_int (dry_hybrid)"
"78","intermediate generation","solar","CSP_int",2050,"OM-fixed",11.63,"CSP_int (dry_hybrid)"
