"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"179","NE","base load generation","wind","wind_base",2010,0.36
"180","NH","base load generation","wind","wind_base",2010,0.38
"181","NJ","base load generation","wind","wind_base",2010,0.33
"182","NM","base load generation","wind","wind_base",2010,0.35
"183","NV","base load generation","wind","wind_base",2010,0.25
"184","NY","base load generation","wind","wind_base",2010,0.38
"185","OH","base load generation","wind","wind_base",2010,0.34
"186","OK","base load generation","wind","wind_base",2010,0.36
"187","OR","base load generation","wind","wind_base",2010,0.4
"188","PA","base load generation","wind","wind_base",2010,0.34
"189","RI","base load generation","wind","wind_base",2010,0.34
"190","SC","base load generation","wind","wind_base",2010,0.25
"191","SD","base load generation","wind","wind_base",2010,0.36
"192","TN","base load generation","wind","wind_base",2010,0.26
"193","TX","base load generation","wind","wind_base",2010,0.38
"194","UT","base load generation","wind","wind_base",2010,0.25
"195","VA","base load generation","wind","wind_base",2010,0.35
"196","VT","base load generation","wind","wind_base",2010,0.32
"197","WA","base load generation","wind","wind_base",2010,0.44
"198","WI","base load generation","wind","wind_base",2010,0.44
"199","WV","base load generation","wind","wind_base",2010,0.29
"200","WY","base load generation","wind","wind_base",2010,0.35
"201","AK","base load generation","wind","wind_base",2015,0.45
"202","AL","base load generation","wind","wind_base",2015,0.31
"203","AR","base load generation","wind","wind_base",2015,0.3
"204","AZ","base load generation","wind","wind_base",2015,0.26
"205","CA","base load generation","wind","wind_base",2015,0.44
"206","CO","base load generation","wind","wind_base",2015,0.34
"207","CT","base load generation","wind","wind_base",2015,0.44
"208","DE","base load generation","wind","wind_base",2015,0.33
"209","FL","base load generation","wind","wind_base",2015,0.38
"210","GA","base load generation","wind","wind_base",2015,0.24
"211","HI","base load generation","wind","wind_base",2015,0.29
"212","IA","base load generation","wind","wind_base",2015,0.33
"213","ID","base load generation","wind","wind_base",2015,0.26
"214","IL","base load generation","wind","wind_base",2015,0.38
"215","IN","base load generation","wind","wind_base",2015,0.32
"216","KS","base load generation","wind","wind_base",2015,0.35
"217","KY","base load generation","wind","wind_base",2015,0.26
"218","LA","base load generation","wind","wind_base",2015,0.41
"219","MA","base load generation","wind","wind_base",2015,0.44
"220","MD","base load generation","wind","wind_base",2015,0.37
"221","ME","base load generation","wind","wind_base",2015,0.41
"222","MI","base load generation","wind","wind_base",2015,0.45
"223","MN","base load generation","wind","wind_base",2015,0.45
"224","MO","base load generation","wind","wind_base",2015,0.31
"225","MS","base load generation","wind","wind_base",2015,0.27
"226","MT","base load generation","wind","wind_base",2015,0.36
"227","NC","base load generation","wind","wind_base",2015,0.35
"228","ND","base load generation","wind","wind_base",2015,0.34
"229","NE","base load generation","wind","wind_base",2015,0.36
"230","NH","base load generation","wind","wind_base",2015,0.38
"231","NJ","base load generation","wind","wind_base",2015,0.33
"232","NM","base load generation","wind","wind_base",2015,0.35
"233","NV","base load generation","wind","wind_base",2015,0.25
"234","NY","base load generation","wind","wind_base",2015,0.38
"235","OH","base load generation","wind","wind_base",2015,0.34
"236","OK","base load generation","wind","wind_base",2015,0.36
"237","OR","base load generation","wind","wind_base",2015,0.4
"238","PA","base load generation","wind","wind_base",2015,0.34
"239","RI","base load generation","wind","wind_base",2015,0.34
"240","SC","base load generation","wind","wind_base",2015,0.25
"241","SD","base load generation","wind","wind_base",2015,0.36
"242","TN","base load generation","wind","wind_base",2015,0.26
"243","TX","base load generation","wind","wind_base",2015,0.38
"244","UT","base load generation","wind","wind_base",2015,0.25
"245","VA","base load generation","wind","wind_base",2015,0.35
"246","VT","base load generation","wind","wind_base",2015,0.32
"247","WA","base load generation","wind","wind_base",2015,0.44
"248","WI","base load generation","wind","wind_base",2015,0.44
"249","WV","base load generation","wind","wind_base",2015,0.29
"250","WY","base load generation","wind","wind_base",2015,0.35
"251","AK","base load generation","wind","wind_base",2020,0.45
"252","AL","base load generation","wind","wind_base",2020,0.31
"253","AR","base load generation","wind","wind_base",2020,0.3
"254","AZ","base load generation","wind","wind_base",2020,0.26
"255","CA","base load generation","wind","wind_base",2020,0.44
"256","CO","base load generation","wind","wind_base",2020,0.34
"257","CT","base load generation","wind","wind_base",2020,0.44
"258","DE","base load generation","wind","wind_base",2020,0.33
"259","FL","base load generation","wind","wind_base",2020,0.38
"260","GA","base load generation","wind","wind_base",2020,0.24
"261","HI","base load generation","wind","wind_base",2020,0.29
