"","region","supplysector","subsector0","subsector","year","capacity.factor","supplysector.y","technology","plant_type","cooling_system","water_type"
"106","AL","base load generation","wind","wind_base",2100,0.41,"electricity","wind_base","no cooling","none","none"
"107","AL","base load generation","wind","wind_base_offshore",2100,0.41,"electricity","wind_base_offshore","no cooling","none","none"
"108","AL","intermediate generation","wind","wind_int",2100,0.41,"electricity","wind_int","no cooling","none","none"
"109","AL","subpeak generation","wind","wind_subpeak",2100,0.41,"electricity","wind_subpeak","no cooling","none","none"
"110","AL","base load generation","wind","wind_base_storage",2100,0.41,"electricity","wind_base_storage","no cooling","none","none"
"111","AR","base load generation","wind","wind_base",1975,0.47,"electricity","wind_base","no cooling","none","none"
"112","AR","intermediate generation","wind","wind_int",1975,0.47,"electricity","wind_int","no cooling","none","none"
"113","AR","subpeak generation","wind","wind_subpeak",1975,0.47,"electricity","wind_subpeak","no cooling","none","none"
"114","AR","base load generation","wind","wind_base_storage",1975,0.47,"electricity","wind_base_storage","no cooling","none","none"
"115","AR","base load generation","wind","wind_base",1990,0.47,"electricity","wind_base","no cooling","none","none"
"116","AR","intermediate generation","wind","wind_int",1990,0.47,"electricity","wind_int","no cooling","none","none"
"117","AR","subpeak generation","wind","wind_subpeak",1990,0.47,"electricity","wind_subpeak","no cooling","none","none"
"118","AR","base load generation","wind","wind_base_storage",1990,0.47,"electricity","wind_base_storage","no cooling","none","none"
"119","AR","base load generation","wind","wind_base",2005,0.47,"electricity","wind_base","no cooling","none","none"
"120","AR","intermediate generation","wind","wind_int",2005,0.47,"electricity","wind_int","no cooling","none","none"
"121","AR","subpeak generation","wind","wind_subpeak",2005,0.47,"electricity","wind_subpeak","no cooling","none","none"
"122","AR","base load generation","wind","wind_base_storage",2005,0.47,"electricity","wind_base_storage","no cooling","none","none"
"123","AR","base load generation","wind","wind_base",2010,0.47,"electricity","wind_base","no cooling","none","none"
"124","AR","intermediate generation","wind","wind_int",2010,0.47,"electricity","wind_int","no cooling","none","none"
"125","AR","subpeak generation","wind","wind_subpeak",2010,0.47,"electricity","wind_subpeak","no cooling","none","none"
"126","AR","base load generation","wind","wind_base_storage",2010,0.47,"electricity","wind_base_storage","no cooling","none","none"
"127","AR","base load generation","wind","wind_base",2015,0.47,"electricity","wind_base","no cooling","none","none"
"128","AR","intermediate generation","wind","wind_int",2015,0.47,"electricity","wind_int","no cooling","none","none"
"129","AR","subpeak generation","wind","wind_subpeak",2015,0.47,"electricity","wind_subpeak","no cooling","none","none"
"130","AR","base load generation","wind","wind_base_storage",2015,0.47,"electricity","wind_base_storage","no cooling","none","none"
"131","AR","base load generation","wind","wind_base",2020,0.47,"electricity","wind_base","no cooling","none","none"
"132","AR","intermediate generation","wind","wind_int",2020,0.47,"electricity","wind_int","no cooling","none","none"
"133","AR","subpeak generation","wind","wind_subpeak",2020,0.47,"electricity","wind_subpeak","no cooling","none","none"
"134","AR","base load generation","wind","wind_base_storage",2020,0.47,"electricity","wind_base_storage","no cooling","none","none"
"135","AR","base load generation","wind","wind_base",2025,0.47,"electricity","wind_base","no cooling","none","none"
"136","AR","intermediate generation","wind","wind_int",2025,0.47,"electricity","wind_int","no cooling","none","none"
"137","AR","subpeak generation","wind","wind_subpeak",2025,0.47,"electricity","wind_subpeak","no cooling","none","none"
"138","AR","base load generation","wind","wind_base_storage",2025,0.47,"electricity","wind_base_storage","no cooling","none","none"
"139","AR","base load generation","wind","wind_base",2030,0.47,"electricity","wind_base","no cooling","none","none"
"140","AR","intermediate generation","wind","wind_int",2030,0.47,"electricity","wind_int","no cooling","none","none"
"141","AR","subpeak generation","wind","wind_subpeak",2030,0.47,"electricity","wind_subpeak","no cooling","none","none"
"142","AR","base load generation","wind","wind_base_storage",2030,0.47,"electricity","wind_base_storage","no cooling","none","none"
"143","AR","base load generation","wind","wind_base",2035,0.47,"electricity","wind_base","no cooling","none","none"
"144","AR","intermediate generation","wind","wind_int",2035,0.47,"electricity","wind_int","no cooling","none","none"
"145","AR","subpeak generation","wind","wind_subpeak",2035,0.47,"electricity","wind_subpeak","no cooling","none","none"
"146","AR","base load generation","wind","wind_base_storage",2035,0.47,"electricity","wind_base_storage","no cooling","none","none"
"147","AR","base load generation","wind","wind_base",2040,0.47,"electricity","wind_base","no cooling","none","none"
"148","AR","intermediate generation","wind","wind_int",2040,0.47,"electricity","wind_int","no cooling","none","none"
"149","AR","subpeak generation","wind","wind_subpeak",2040,0.47,"electricity","wind_subpeak","no cooling","none","none"
"150","AR","base load generation","wind","wind_base_storage",2040,0.47,"electricity","wind_base_storage","no cooling","none","none"
"151","AR","base load generation","wind","wind_base",2045,0.47,"electricity","wind_base","no cooling","none","none"
"152","AR","intermediate generation","wind","wind_int",2045,0.47,"electricity","wind_int","no cooling","none","none"
"153","AR","subpeak generation","wind","wind_subpeak",2045,0.47,"electricity","wind_subpeak","no cooling","none","none"
"154","AR","base load generation","wind","wind_base_storage",2045,0.47,"electricity","wind_base_storage","no cooling","none","none"
"155","AR","base load generation","wind","wind_base",2050,0.47,"electricity","wind_base","no cooling","none","none"
"156","AR","intermediate generation","wind","wind_int",2050,0.47,"electricity","wind_int","no cooling","none","none"
"157","AR","subpeak generation","wind","wind_subpeak",2050,0.47,"electricity","wind_subpeak","no cooling","none","none"
"158","AR","base load generation","wind","wind_base_storage",2050,0.47,"electricity","wind_base_storage","no cooling","none","none"
"159","AR","base load generation","wind","wind_base",2055,0.47,"electricity","wind_base","no cooling","none","none"
"160","AR","intermediate generation","wind","wind_int",2055,0.47,"electricity","wind_int","no cooling","none","none"
"161","AR","subpeak generation","wind","wind_subpeak",2055,0.47,"electricity","wind_subpeak","no cooling","none","none"
"162","AR","base load generation","wind","wind_base_storage",2055,0.47,"electricity","wind_base_storage","no cooling","none","none"
"163","AR","base load generation","wind","wind_base",2060,0.47,"electricity","wind_base","no cooling","none","none"
"164","AR","intermediate generation","wind","wind_int",2060,0.47,"electricity","wind_int","no cooling","none","none"
"165","AR","subpeak generation","wind","wind_subpeak",2060,0.47,"electricity","wind_subpeak","no cooling","none","none"
"166","AR","base load generation","wind","wind_base_storage",2060,0.47,"electricity","wind_base_storage","no cooling","none","none"
"167","AR","base load generation","wind","wind_base",2065,0.47,"electricity","wind_base","no cooling","none","none"
"168","AR","intermediate generation","wind","wind_int",2065,0.47,"electricity","wind_int","no cooling","none","none"
"169","AR","subpeak generation","wind","wind_subpeak",2065,0.47,"electricity","wind_subpeak","no cooling","none","none"
"170","AR","base load generation","wind","wind_base_storage",2065,0.47,"electricity","wind_base_storage","no cooling","none","none"
"171","AR","base load generation","wind","wind_base",2070,0.47,"electricity","wind_base","no cooling","none","none"
"172","AR","intermediate generation","wind","wind_int",2070,0.47,"electricity","wind_int","no cooling","none","none"
"173","AR","subpeak generation","wind","wind_subpeak",2070,0.47,"electricity","wind_subpeak","no cooling","none","none"
"174","AR","base load generation","wind","wind_base_storage",2070,0.47,"electricity","wind_base_storage","no cooling","none","none"
"175","AR","base load generation","wind","wind_base",2075,0.47,"electricity","wind_base","no cooling","none","none"
"176","AR","intermediate generation","wind","wind_int",2075,0.47,"electricity","wind_int","no cooling","none","none"
"177","AR","subpeak generation","wind","wind_subpeak",2075,0.47,"electricity","wind_subpeak","no cooling","none","none"
"178","AR","base load generation","wind","wind_base_storage",2075,0.47,"electricity","wind_base_storage","no cooling","none","none"
"179","AR","base load generation","wind","wind_base",2080,0.47,"electricity","wind_base","no cooling","none","none"
"180","AR","intermediate generation","wind","wind_int",2080,0.47,"electricity","wind_int","no cooling","none","none"
"181","AR","subpeak generation","wind","wind_subpeak",2080,0.47,"electricity","wind_subpeak","no cooling","none","none"
"182","AR","base load generation","wind","wind_base_storage",2080,0.47,"electricity","wind_base_storage","no cooling","none","none"
"183","AR","base load generation","wind","wind_base",2085,0.47,"electricity","wind_base","no cooling","none","none"
"184","AR","intermediate generation","wind","wind_int",2085,0.47,"electricity","wind_int","no cooling","none","none"
"185","AR","subpeak generation","wind","wind_subpeak",2085,0.47,"electricity","wind_subpeak","no cooling","none","none"
"186","AR","base load generation","wind","wind_base_storage",2085,0.47,"electricity","wind_base_storage","no cooling","none","none"
"187","AR","base load generation","wind","wind_base",2090,0.47,"electricity","wind_base","no cooling","none","none"
"188","AR","intermediate generation","wind","wind_int",2090,0.47,"electricity","wind_int","no cooling","none","none"
"189","AR","subpeak generation","wind","wind_subpeak",2090,0.47,"electricity","wind_subpeak","no cooling","none","none"
"190","AR","base load generation","wind","wind_base_storage",2090,0.47,"electricity","wind_base_storage","no cooling","none","none"
"191","AR","base load generation","wind","wind_base",2095,0.47,"electricity","wind_base","no cooling","none","none"
"192","AR","intermediate generation","wind","wind_int",2095,0.47,"electricity","wind_int","no cooling","none","none"
"193","AR","subpeak generation","wind","wind_subpeak",2095,0.47,"electricity","wind_subpeak","no cooling","none","none"
"194","AR","base load generation","wind","wind_base_storage",2095,0.47,"electricity","wind_base_storage","no cooling","none","none"
"195","AR","base load generation","wind","wind_base",2100,0.47,"electricity","wind_base","no cooling","none","none"
"196","AR","intermediate generation","wind","wind_int",2100,0.47,"electricity","wind_int","no cooling","none","none"
"197","AR","subpeak generation","wind","wind_subpeak",2100,0.47,"electricity","wind_subpeak","no cooling","none","none"
"198","AR","base load generation","wind","wind_base_storage",2100,0.47,"electricity","wind_base_storage","no cooling","none","none"
"199","AZ","base load generation","wind","wind_base",1975,0.43,"electricity","wind_base","no cooling","none","none"
"200","AZ","intermediate generation","wind","wind_int",1975,0.43,"electricity","wind_int","no cooling","none","none"
"201","AZ","subpeak generation","wind","wind_subpeak",1975,0.43,"electricity","wind_subpeak","no cooling","none","none"
"202","AZ","base load generation","wind","wind_base_storage",1975,0.43,"electricity","wind_base_storage","no cooling","none","none"
"203","AZ","base load generation","wind","wind_base",1990,0.43,"electricity","wind_base","no cooling","none","none"
"204","AZ","intermediate generation","wind","wind_int",1990,0.43,"electricity","wind_int","no cooling","none","none"
"205","AZ","subpeak generation","wind","wind_subpeak",1990,0.43,"electricity","wind_subpeak","no cooling","none","none"
"206","AZ","base load generation","wind","wind_base_storage",1990,0.43,"electricity","wind_base_storage","no cooling","none","none"
