"","sector.name","subsector.name","technology","year","input.capital","capital.overnight","fixed.charge.rate"
"151","base load generation","coal","coal_base_conv pul 1981-1985",2085,"capital",892,0.13
"152","base load generation","coal","coal_base_conv pul 1981-1985",2090,"capital",888,0.13
"153","base load generation","coal","coal_base_conv pul 1981-1985",2095,"capital",885,0.13
"154","base load generation","coal","coal_base_conv pul 1981-1985",2100,"capital",881,0.13
"155","base load generation","coal","coal_base_conv pul 1986-1990",1975,"capital",1015,0.13
"156","base load generation","coal","coal_base_conv pul 1986-1990",1990,"capital",1015,0.13
"157","base load generation","coal","coal_base_conv pul 1986-1990",2005,"capital",1015,0.13
"158","base load generation","coal","coal_base_conv pul 1986-1990",2010,"capital",1015,0.13
"159","base load generation","coal","coal_base_conv pul 1986-1990",2015,"capital",1015,0.13
"160","base load generation","coal","coal_base_conv pul 1986-1990",2020,"capital",999,0.13
"161","base load generation","coal","coal_base_conv pul 1986-1990",2025,"capital",985,0.13
"162","base load generation","coal","coal_base_conv pul 1986-1990",2030,"capital",972,0.13
"163","base load generation","coal","coal_base_conv pul 1986-1990",2035,"capital",961,0.13
"164","base load generation","coal","coal_base_conv pul 1986-1990",2040,"capital",950,0.13
"165","base load generation","coal","coal_base_conv pul 1986-1990",2045,"capital",941,0.13
"166","base load generation","coal","coal_base_conv pul 1986-1990",2050,"capital",932,0.13
"167","base load generation","coal","coal_base_conv pul 1986-1990",2055,"capital",925,0.13
"168","base load generation","coal","coal_base_conv pul 1986-1990",2060,"capital",918,0.13
"169","base load generation","coal","coal_base_conv pul 1986-1990",2065,"capital",911,0.13
"170","base load generation","coal","coal_base_conv pul 1986-1990",2070,"capital",906,0.13
"171","base load generation","coal","coal_base_conv pul 1986-1990",2075,"capital",901,0.13
"172","base load generation","coal","coal_base_conv pul 1986-1990",2080,"capital",896,0.13
"173","base load generation","coal","coal_base_conv pul 1986-1990",2085,"capital",892,0.13
"174","base load generation","coal","coal_base_conv pul 1986-1990",2090,"capital",888,0.13
"175","base load generation","coal","coal_base_conv pul 1986-1990",2095,"capital",885,0.13
"176","base load generation","coal","coal_base_conv pul 1986-1990",2100,"capital",881,0.13
"177","base load generation","coal","coal_base_conv pul 1991-1995",1975,"capital",1015,0.13
"178","base load generation","coal","coal_base_conv pul 1991-1995",1990,"capital",1015,0.13
"179","base load generation","coal","coal_base_conv pul 1991-1995",2005,"capital",1015,0.13
"180","base load generation","coal","coal_base_conv pul 1991-1995",2010,"capital",1015,0.13
"181","base load generation","coal","coal_base_conv pul 1991-1995",2015,"capital",1015,0.13
"182","base load generation","coal","coal_base_conv pul 1991-1995",2020,"capital",999,0.13
"183","base load generation","coal","coal_base_conv pul 1991-1995",2025,"capital",985,0.13
"184","base load generation","coal","coal_base_conv pul 1991-1995",2030,"capital",972,0.13
"185","base load generation","coal","coal_base_conv pul 1991-1995",2035,"capital",961,0.13
"186","base load generation","coal","coal_base_conv pul 1991-1995",2040,"capital",950,0.13
"187","base load generation","coal","coal_base_conv pul 1991-1995",2045,"capital",941,0.13
"188","base load generation","coal","coal_base_conv pul 1991-1995",2050,"capital",932,0.13
"189","base load generation","coal","coal_base_conv pul 1991-1995",2055,"capital",925,0.13
"190","base load generation","coal","coal_base_conv pul 1991-1995",2060,"capital",918,0.13
"191","base load generation","coal","coal_base_conv pul 1991-1995",2065,"capital",911,0.13
"192","base load generation","coal","coal_base_conv pul 1991-1995",2070,"capital",906,0.13
"193","base load generation","coal","coal_base_conv pul 1991-1995",2075,"capital",901,0.13
"194","base load generation","coal","coal_base_conv pul 1991-1995",2080,"capital",896,0.13
"195","base load generation","coal","coal_base_conv pul 1991-1995",2085,"capital",892,0.13
"196","base load generation","coal","coal_base_conv pul 1991-1995",2090,"capital",888,0.13
"197","base load generation","coal","coal_base_conv pul 1991-1995",2095,"capital",885,0.13
"198","base load generation","coal","coal_base_conv pul 1991-1995",2100,"capital",881,0.13
"199","base load generation","coal","coal_base_conv pul 1996-2000",1975,"capital",1015,0.13
"200","base load generation","coal","coal_base_conv pul 1996-2000",1990,"capital",1015,0.13
"201","base load generation","coal","coal_base_conv pul 1996-2000",2005,"capital",1015,0.13
"202","base load generation","coal","coal_base_conv pul 1996-2000",2010,"capital",1015,0.13
"203","base load generation","coal","coal_base_conv pul 1996-2000",2015,"capital",1015,0.13
"204","base load generation","coal","coal_base_conv pul 1996-2000",2020,"capital",999,0.13
"205","base load generation","coal","coal_base_conv pul 1996-2000",2025,"capital",985,0.13
"206","base load generation","coal","coal_base_conv pul 1996-2000",2030,"capital",972,0.13
"207","base load generation","coal","coal_base_conv pul 1996-2000",2035,"capital",961,0.13
"208","base load generation","coal","coal_base_conv pul 1996-2000",2040,"capital",950,0.13
"209","base load generation","coal","coal_base_conv pul 1996-2000",2045,"capital",941,0.13
"210","base load generation","coal","coal_base_conv pul 1996-2000",2050,"capital",932,0.13
"211","base load generation","coal","coal_base_conv pul 1996-2000",2055,"capital",925,0.13
"212","base load generation","coal","coal_base_conv pul 1996-2000",2060,"capital",918,0.13
"213","base load generation","coal","coal_base_conv pul 1996-2000",2065,"capital",911,0.13
"214","base load generation","coal","coal_base_conv pul 1996-2000",2070,"capital",906,0.13
"215","base load generation","coal","coal_base_conv pul 1996-2000",2075,"capital",901,0.13
"216","base load generation","coal","coal_base_conv pul 1996-2000",2080,"capital",896,0.13
"217","base load generation","coal","coal_base_conv pul 1996-2000",2085,"capital",892,0.13
"218","base load generation","coal","coal_base_conv pul 1996-2000",2090,"capital",888,0.13
"219","base load generation","coal","coal_base_conv pul 1996-2000",2095,"capital",885,0.13
"220","base load generation","coal","coal_base_conv pul 1996-2000",2100,"capital",881,0.13
"221","base load generation","coal","coal_base_conv pul 2001-2005",1975,"capital",1015,0.13
"222","base load generation","coal","coal_base_conv pul 2001-2005",1990,"capital",1015,0.13
"223","base load generation","coal","coal_base_conv pul 2001-2005",2005,"capital",1015,0.13
"224","base load generation","coal","coal_base_conv pul 2001-2005",2010,"capital",1015,0.13
"225","base load generation","coal","coal_base_conv pul 2001-2005",2015,"capital",1015,0.13
"226","base load generation","coal","coal_base_conv pul 2001-2005",2020,"capital",999,0.13
"227","base load generation","coal","coal_base_conv pul 2001-2005",2025,"capital",985,0.13
"228","base load generation","coal","coal_base_conv pul 2001-2005",2030,"capital",972,0.13
"229","base load generation","coal","coal_base_conv pul 2001-2005",2035,"capital",961,0.13
