"","sector.name","subsector.name0","subsector.name","year","technology","input.capital","capital.overnight","fixed.charge.rate"
"162","base load generation","coal","coal_base_conv pul",1990,"coal (conv pul) (once through)","cooling system",6,0.15
"163","base load generation","coal","coal_base_conv pul",1990,"coal (conv pul) (seawater)","cooling system",6,0.15
"164","base load generation","coal","coal_base_conv pul",1990,"coal (conv pul) (recirculating)","cooling system",10,0.15
"165","base load generation","coal","coal_base_conv pul",1990,"coal (conv pul) (cooling pond)","cooling system",9,0.15
"166","base load generation","coal","coal_base_conv pul",1990,"coal (conv pul) (dry cooling)","cooling system",62,0.15
"167","base load generation","coal","coal_base_conv pul_CCS",1990,"coal (conv pul CCS) (once through)","cooling system",6,0.15
"168","base load generation","coal","coal_base_conv pul_CCS",1990,"coal (conv pul CCS) (seawater)","cooling system",6,0.15
"169","base load generation","coal","coal_base_conv pul_CCS",1990,"coal (conv pul CCS) (recirculating)","cooling system",10,0.15
"170","base load generation","coal","coal_base_conv pul_CCS",1990,"coal (conv pul CCS) (dry cooling)","cooling system",62,0.15
"171","base load generation","coal","coal_base_IGCC",1990,"coal (IGCC) (once through)","cooling system",6,0.15
"172","base load generation","coal","coal_base_IGCC",1990,"coal (IGCC) (seawater)","cooling system",6,0.15
"173","base load generation","coal","coal_base_IGCC",1990,"coal (IGCC) (recirculating)","cooling system",10,0.15
"174","base load generation","coal","coal_base_IGCC",1990,"coal (IGCC) (dry cooling)","cooling system",62,0.15
"175","base load generation","coal","coal_base_IGCC_CCS",1990,"coal (IGCC CCS) (once through)","cooling system",6,0.15
"176","base load generation","coal","coal_base_IGCC_CCS",1990,"coal (IGCC CCS) (seawater)","cooling system",6,0.15
"177","base load generation","coal","coal_base_IGCC_CCS",1990,"coal (IGCC CCS) (recirculating)","cooling system",10,0.15
"178","base load generation","coal","coal_base_IGCC_CCS",1990,"coal (IGCC CCS) (dry cooling)","cooling system",62,0.15
"179","base load generation","gas","gas_base_CC",1990,"gas (CC) (once through)","cooling system",6,0.15
"180","base load generation","gas","gas_base_CC",1990,"gas (CC) (seawater)","cooling system",6,0.15
"181","base load generation","gas","gas_base_CC",1990,"gas (CC) (recirculating)","cooling system",10,0.15
"182","base load generation","gas","gas_base_CC",1990,"gas (CC) (cooling pond)","cooling system",9,0.15
"183","base load generation","gas","gas_base_CC",1990,"gas (CC) (dry cooling)","cooling system",62,0.15
"184","base load generation","gas","gas_base_CC_CCS",1990,"gas (CC CCS) (once through)","cooling system",6,0.15
"185","base load generation","gas","gas_base_CC_CCS",1990,"gas (CC CCS) (seawater)","cooling system",6,0.15
"186","base load generation","gas","gas_base_CC_CCS",1990,"gas (CC CCS) (recirculating)","cooling system",10,0.15
"187","base load generation","gas","gas_base_CC_CCS",1990,"gas (CC CCS) (dry cooling)","cooling system",62,0.15
"188","base load generation","geothermal","geo_base",1990,"geothermal (recirculating)","cooling system",10,0.15
"189","base load generation","geothermal","geo_base",1990,"geothermal (dry_hybrid)","cooling system",62,0.15
"190","base load generation","nuclear","nuc_base_Gen II",1990,"Gen_II_LWR (once through)","cooling system",6,0.15
