"","year","input.capital","capital.overnight","fixed.charge.rate","supplysector","subsector0","subsector","intermittent.technology"
"300",2090,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"301",2090,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"302",2090,"capital",506,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"303",2095,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"304",2095,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"305",2095,"capital",505,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"306",2100,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"307",2100,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"308",2100,"capital",505,0.13,"peak generation","solar","CSP_peak","CSP_peak (dry_hybrid)"
"309",1975,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"310",1975,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"311",1975,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"312",1990,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"313",1990,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"314",1990,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"315",2005,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"316",2005,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"317",2005,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"318",2010,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"319",2010,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"320",2010,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"321",2015,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"322",2015,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"323",2015,"capital",1362,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"324",2020,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"325",2020,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"326",2020,"capital",1070,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"327",2025,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"328",2025,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"329",2025,"capital",877,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"330",2030,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"331",2030,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"332",2030,"capital",750,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"333",2035,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"334",2035,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"335",2035,"capital",666,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"336",2040,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"337",2040,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"338",2040,"capital",611,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"339",2045,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"340",2045,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"341",2045,"capital",574,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"342",2050,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"343",2050,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"344",2050,"capital",550,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"345",2055,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"346",2055,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"347",2055,"capital",535,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"348",2060,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"349",2060,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"350",2060,"capital",524,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"351",2065,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"352",2065,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"353",2065,"capital",517,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"354",2070,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"355",2070,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"356",2070,"capital",513,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"357",2075,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"358",2075,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"359",2075,"capital",510,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"360",2080,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"361",2080,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"362",2080,"capital",508,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"363",2085,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"364",2085,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"365",2085,"capital",507,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"366",2090,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"367",2090,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"368",2090,"capital",506,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"369",2095,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"370",2095,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"371",2095,"capital",505,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"372",2100,"cooling system",10,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"373",2100,"cooling system",62,0.15,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"374",2100,"capital",505,0.13,"peak generation","solar","CSP_peak","CSP_peak (recirculating)"
"375",1975,"capital",667,0.13,"peak generation","solar","PV_peak","PV_peak"
"376",1990,"capital",667,0.13,"peak generation","solar","PV_peak","PV_peak"
"377",2005,"capital",667,0.13,"peak generation","solar","PV_peak","PV_peak"
"378",2010,"capital",667,0.13,"peak generation","solar","PV_peak","PV_peak"
"379",2015,"capital",667,0.13,"peak generation","solar","PV_peak","PV_peak"
"380",2020,"capital",478,0.13,"peak generation","solar","PV_peak","PV_peak"
"381",2025,"capital",367,0.13,"peak generation","solar","PV_peak","PV_peak"
"382",2030,"capital",301,0.13,"peak generation","solar","PV_peak","PV_peak"
"383",2035,"capital",263,0.13,"peak generation","solar","PV_peak","PV_peak"
"384",2040,"capital",240,0.13,"peak generation","solar","PV_peak","PV_peak"
"385",2045,"capital",226,0.13,"peak generation","solar","PV_peak","PV_peak"
"386",2050,"capital",218,0.13,"peak generation","solar","PV_peak","PV_peak"
"387",2055,"capital",213,0.13,"peak generation","solar","PV_peak","PV_peak"
"388",2060,"capital",211,0.13,"peak generation","solar","PV_peak","PV_peak"
"389",2065,"capital",209,0.13,"peak generation","solar","PV_peak","PV_peak"
"390",2070,"capital",208,0.13,"peak generation","solar","PV_peak","PV_peak"
"391",2075,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"392",2080,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"393",2085,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"394",2090,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"395",2095,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"396",2100,"capital",207,0.13,"peak generation","solar","PV_peak","PV_peak"
"397",1975,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"398",1975,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"399",1975,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"400",1990,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"401",1990,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"402",1990,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"403",2005,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"404",2005,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"405",2005,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"406",2010,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"407",2010,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"408",2010,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"409",2015,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"410",2015,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"411",2015,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"412",2020,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"413",2020,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"414",2020,"capital",1070,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"415",2025,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"416",2025,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"417",2025,"capital",877,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"418",2030,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"419",2030,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"420",2030,"capital",750,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"421",2035,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"422",2035,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"423",2035,"capital",666,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"424",2040,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"425",2040,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"426",2040,"capital",611,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"427",2045,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"428",2045,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"429",2045,"capital",574,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"430",2050,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"431",2050,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"432",2050,"capital",550,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"433",2055,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"434",2055,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"435",2055,"capital",535,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"436",2060,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"437",2060,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"438",2060,"capital",524,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"439",2065,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"440",2065,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"441",2065,"capital",517,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"442",2070,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"443",2070,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"444",2070,"capital",513,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"445",2075,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"446",2075,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"447",2075,"capital",510,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"448",2080,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"449",2080,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"450",2080,"capital",508,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"451",2085,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"452",2085,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"453",2085,"capital",507,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"454",2090,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"455",2090,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"456",2090,"capital",506,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"457",2095,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"458",2095,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"459",2095,"capital",505,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"460",2100,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"461",2100,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"462",2100,"capital",505,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (dry_hybrid)"
"463",1975,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"464",1975,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"465",1975,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"466",1990,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"467",1990,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"468",1990,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"469",2005,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"470",2005,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"471",2005,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"472",2010,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"473",2010,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"474",2010,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"475",2015,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"476",2015,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"477",2015,"capital",1362,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"478",2020,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"479",2020,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"480",2020,"capital",1070,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"481",2025,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"482",2025,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"483",2025,"capital",877,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"484",2030,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"485",2030,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"486",2030,"capital",750,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"487",2035,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"488",2035,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"489",2035,"capital",666,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"490",2040,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"491",2040,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"492",2040,"capital",611,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"493",2045,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"494",2045,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"495",2045,"capital",574,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"496",2050,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"497",2050,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"498",2050,"capital",550,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"499",2055,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"500",2055,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"501",2055,"capital",535,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"502",2060,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"503",2060,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"504",2060,"capital",524,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"505",2065,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"506",2065,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"507",2065,"capital",517,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"508",2070,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"509",2070,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"510",2070,"capital",513,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"511",2075,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"512",2075,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"513",2075,"capital",510,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"514",2080,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"515",2080,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"516",2080,"capital",508,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"517",2085,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"518",2085,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"519",2085,"capital",507,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"520",2090,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"521",2090,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"522",2090,"capital",506,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"523",2095,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"524",2095,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"525",2095,"capital",505,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"526",2100,"cooling system",10,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"527",2100,"cooling system",62,0.15,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"528",2100,"capital",505,0.13,"subpeak generation","solar","CSP_subpeak","CSP_subpeak (recirculating)"
"529",1975,"capital",667,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"530",1990,"capital",667,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"531",2005,"capital",667,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"532",2010,"capital",667,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"533",2015,"capital",667,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"534",2020,"capital",478,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"535",2025,"capital",367,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"536",2030,"capital",301,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"537",2035,"capital",263,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"538",2040,"capital",240,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"539",2045,"capital",226,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"540",2050,"capital",218,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"541",2055,"capital",213,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"542",2060,"capital",211,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"543",2065,"capital",209,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"544",2070,"capital",208,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"545",2075,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"546",2080,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"547",2085,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"548",2090,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"549",2095,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"550",2100,"capital",207,0.13,"subpeak generation","solar","PV_subpeak","PV_subpeak"
"551",1975,"capital",451,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"552",1990,"capital",451,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"553",2005,"capital",451,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"554",2010,"capital",451,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"555",2015,"capital",451,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"556",2020,"capital",406,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"557",2025,"capital",371,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"558",2030,"capital",345,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"559",2035,"capital",324,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"560",2040,"capital",308,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"561",2045,"capital",295,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"562",2050,"capital",286,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"563",2055,"capital",278,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"564",2060,"capital",272,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"565",2065,"capital",268,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"566",2070,"capital",264,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"567",2075,"capital",262,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"568",2080,"capital",260,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"569",2085,"capital",258,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"570",2090,"capital",257,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"571",2095,"capital",256,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
"572",2100,"capital",255,0.13,"subpeak generation","wind","wind_subpeak","wind_subpeak"
